ID,Time,un,Fix_amb,SV,Moving,Phase,carr,x,y,z,a,b,c,layer,path
4560525_08265200,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1821,5036042.9951,159.7789,0.0027,0.0043,0.0051,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08265300,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1806,5036043.0015,159.7766,0.0024,0.0039,0.0046,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08265400,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.191,5036042.9938,159.7804,0.0026,0.0043,0.0051,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08265500,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1899,5036042.9905,159.7814,0.0021,0.0035,0.0041,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08265600,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1899,5036042.9846,159.7831,0.0022,0.0035,0.0041,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08265700,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1889,5036042.985,159.782,0.0028,0.0046,0.0054,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08265800,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1963,5036042.9821,159.7803,0.0037,0.006,0.0071,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08265900,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1948,5036042.9825,159.791,0.0046,0.0074,0.0087,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08270000,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.193,5036042.9778,159.7775,0.0024,0.004,0.0047,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08270100,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1934,5036042.9951,159.7765,0.0023,0.0038,0.0044,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
